uid,day,hour,minute,C_motion,feed_water_motion,faucet_hole,vapour_pressure,vapour_enthalpy,vapour_pressure_at_division,vapour_motion,feed_water_enth,vapour_temperature,output_electricity_generation
0,Saturday,7.0,,387.3743150039999,2681.20543097429,0.6783524982371238,25.050892866999998,2775.7841340669997,26.465138199499997,2682.758691613,1289.082350556,601.8503215129999,974.1825442139999
1,Saturday,12.0,28.0,238.15301106699997,1604.213100479668,0.6797062598052361,15.241146920999999,2903.6198641769997,,1602.3180022849997,1144.454101791,603.933578591,593.915516297
2,Friday,15.0,13.0,338.27022835899993,2398.561684849872,0.6629706318554403,23.078376320999997,2796.4435840379997,24.316160368499997,,1258.098883041,602.4432810709999,884.0334498459999
3,Saturday,14.0,,254.29449166999999,1620.034059090611,0.6799767308943079,15.054981941999998,2818.023511181,15.8955131335,1619.3876668969997,1142.4638325099997,588.9387165549999,584.9087187229999
4,Saturday,18.0,16.0,203.18940999499998,1485.6723890342478,0.6863424708138005,12.963420469999997,2816.144354573,13.682370701999998,1487.685051853,1099.5394810399998,504.20881614199993,483.60997344899994
5,Friday,11.0,36.0,358.27513256599997,2616.8288280727375,0.6627972449803768,25.076633581999996,2784.3010644349997,26.4225846885,2619.5234004939994,1284.2839779769997,601.47946126,957.3819882989999
6,Friday,19.0,13.0,357.485294138,,0.6585992043188366,24.750458733,2790.7292262399997,26.061037001999996,2568.0542587699997,1278.173380484,604.8111424079999,937.8381802429999
7,Saturday,9.0,32.0,350.27653755299997,2410.7366247549535,0.6784731463677152,22.596671096999994,2819.454058988,23.8718344865,2412.3799409709995,1253.614299938,607.632141091,877.8518134049999
8,Saturday,2.0,51.0,353.04586869699995,2462.2713179550574,0.6778055594467921,,2779.4498844249997,24.432166758999998,,1264.5274241599998,605.103459737,907.7347731419999
9,Saturday,4.0,26.0,347.78024106299995,2461.4342554023133,0.6611848424745405,23.596206633999998,2807.659504157,,2457.613361203,1263.1015617219998,604.764432698,904.016559866
10,Friday,9.0,1.0,,2605.604575001887,0.6793282271856435,24.377088735999997,,25.755323593999996,2608.2445549159997,1281.8340204669998,606.5935737079999,957.0290035119999
11,Saturday,15.0,11.0,193.73603970999997,1403.1308208802905,0.6549827249011818,13.560908361,2846.3362222619994,14.265852600999999,1404.8942137229997,1101.6581746169998,560.0765099179999,501.29850030899996
12,Saturday,13.0,10.0,235.72064078199998,1630.163146654093,0.6792880351415738,15.444219790999998,2894.592618442,16.3244936855,1631.2838291749997,1148.2315574729998,596.1474731399999,599.8880924329999
13,Friday,7.0,41.0,419.71289255999994,2913.025095975323,0.6790077386832467,26.940794881,2735.62275129,28.449426505499996,2909.4174969859996,,,1051.4895154459998
14,Friday,17.0,20.0,341.06471975799997,2461.0636788687093,0.6583917992197824,23.740435718999997,2799.628892381,24.989740275499994,2463.947081596,1264.7346621909999,605.248792431,901.7395462569999
